"敌人ID","日本敌人名称","入队概率分母","基础入队概率","关联角色ID","日本角色名称","Faces路径","Faces索引","Battlers路径","敌人Cut-inPictures路径","角色Cut-inPictures路径","中文敌人名称","中文角色名称"
"757","切り裂きエリス","6","1/6（16.67%）","645","エリス","Graphics/Faces/elis_fc1","0","Graphics/Battlers/50_elis_st01","Graphics/Pictures/ct_syoukan_k01","Graphics/Pictures/ct_syoukan_k01","开膛手厄里斯","厄里斯"
"759","シャウトマータ","6","1/6（16.67%）","646","シャウト","Graphics/Faces/shoutmata_fc1","0","Graphics/Battlers/50_shoutmata_st01","Graphics/Pictures/ct_syoukan_k04","Graphics/Pictures/ct_syoukan_k04","咆哮人偶","肖特"
"760","ジャイアントセーラ","10","1/10（10.00%）","647","ジャイアントセーラ","Graphics/Faces/giantsarah_fc1","0","Graphics/Battlers/80_giantsarah_st01","Graphics/Pictures/ct_giantsarah1","Graphics/Pictures/ct_giantsarah1","巨人莎拉","巨人莎拉"
"762","パイズリ人形Mk.II","8","1/8（12.50%）","648","ズリン","Graphics/Faces/paizuridoll2_fc1","0","Graphics/Battlers/50_paizuridoll2_st01","","Graphics/Pictures/ct_paizuridoll2_1","パイズリ人形Mk.II","阿交"
"763","ラブマータ","8","1/8（12.50%）","649","ラブ","Graphics/Faces/lovemata_fc1","0","Graphics/Battlers/50_lovemata_st01","Graphics/Pictures/ct_syoukan_k05","Graphics/Pictures/ct_syoukan_k05","爱情人偶","爱"
"765","ブラヴァツキー","8","1/8（12.50%）","650","ブラヴァツキー","Graphics/Faces/blavatsky_fc1","0","Graphics/Battlers/50_blavatsky_st01","Graphics/Pictures/ct_blavatsky1","Graphics/Pictures/ct_blavatsky1","布拉瓦茨基","布拉瓦茨基"
"767","決戦人型兵器アグニ","10","1/10（10.00%）","651","アグニ","Graphics/Faces/aguni_fc1","0","Graphics/Battlers/80_aguni_st01","","Graphics/Pictures/ct_syoukan_k08","决战人型兵器阿耆尼","阿耆尼"
"768","快楽人形・雅姫","10","1/10（10.00%）","652","雅姫","Graphics/Faces/miyabihime_fc1","0","Graphics/Battlers/80_miyabihime_st01","Graphics/Pictures/ct_syoukan_k09","Graphics/Pictures/ct_syoukan_k09","快乐人偶・雅姬","雅姬"
"773","ナンキュバス","4","1/4（25.00%）","653","マヒナ","Graphics/Faces/nanccubus_fc1","0","Graphics/Battlers/50_nanccubus_st01","","","玉女魅魔","玛希娜"
"774","パビルサグ","6","1/6（16.67%）","654","スカルナ","Graphics/Faces/pabilsag_fc1","0","Graphics/Battlers/50_pabilsag_st01","","","帕皮尔萨格","斯卡鲁娜"
"775","マンイーター","8","1/8（12.50%）","655","ノン","Graphics/Faces/maneater_fc1","0","Graphics/Battlers/50_maneater_st01","Graphics/Pictures/ct_hiru1","Graphics/Pictures/ct_syokusyu1；Graphics/Pictures/ct_syokusyu2；Graphics/Pictures/ct_hiru3；Graphics/Pictures/ct_hiru1；Graphics/Pictures/ct_hiru4","食人者","诺恩"
"776","古代竜","10","1/10（10.00%）","656","シェンホー","Graphics/Faces/kodairyu_fc1","0","Graphics/Battlers/50_kodairyu_st01","","","古代龙","仙贺"
"782","ハイバフォメット","6","1/6（16.67%）","659","サバト","Graphics/Faces/high_baphomet_fc1","0","Graphics/Battlers/50_high_baphomet_st01","Graphics/Pictures/ct_high_baphomet1","Graphics/Pictures/ct_high_baphomet1","高阶巴风特","萨巴特"
"783","ローグエルフ","6","1/6（16.67%）","660","ミサミサ","Graphics/Faces/rogueelf_fc1","0","Graphics/Battlers/50_rogueelf_st01","","","叛逆精灵","米萨米萨"
"807","ガーゴイル娘","8","1/8（12.50%）","661","ガーゴー","Graphics/Faces/gargoyle_fc1","0","Graphics/Battlers/50_gargoyle_st01","","","石像鬼娘","伽格"
"808","アテナ","8","1/8（12.50%）","662","アテナ","Graphics/Faces/athena_fc1","0","Graphics/Battlers/50_athena_st01","Graphics/Pictures/ct_athena1","Graphics/Pictures/ct_athena1","雅典娜","雅典娜"
"812","阿吽","8","1/8（12.50%）","663","阿吽","Graphics/Faces/aun_fc1","0","Graphics/Battlers/80_aun_st01","","","阿吽","阿吽"
"813","ドラゴンヘッド","8","1/8（12.50%）","664","デアフリーゼ","Graphics/Faces/dragonhead_fc1","0","Graphics/Battlers/80_dragonhead_st01","","","龙首","德尔芙莉泽"
"814","モンストロ","10","1/10（10.00%）","665","トロ","Graphics/Faces/monstruo_fc1","1","Graphics/Battlers/80_monstruo_st01","Graphics/Pictures/ct_monstruo1","Graphics/Pictures/ct_monstruo1","巨鲸","特罗"
"815","シヴァ","8","1/8（12.50%）","666","シヴァ","Graphics/Faces/siva_fc1","0","Graphics/Battlers/50_siva_st01","Graphics/Pictures/ct_siva1","Graphics/Pictures/ct_siva1","湿婆","湿婆"
"817","ネプチューン","10","1/10（10.00%）","667","トリトン","Graphics/Faces/neptune_fc1","0","Graphics/Battlers/80_neptune_st01","","","尼普顿","特里同"
"818","タオ","10","1/10（10.00%）","668","タオ","Graphics/Faces/tao_fc1","0","Graphics/Battlers/80_tao_st01","","","道","道"
"819","モルボル娘","10","1/10（10.00%）","669","モルボ","Graphics/Faces/moruboru_fc1","0","Graphics/Battlers/80_moruboru_st01","Graphics/Pictures/ct_moruboru1","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2；Graphics/Pictures/ct_moruboru1","魔界花娘","毛尔波"
"820","アルケオプテリクス","10","1/10（10.00%）","670","ガリア","Graphics/Faces/a_pterix_fc1","0","Graphics/Battlers/80_a_pterix_st01","","","阿尔凯奥普泰里克斯","加利亚"
"821","アスモデウス","10","1/10（10.00%）","671","アデウス","Graphics/Faces/asmodeus_fc1","0","Graphics/Battlers/80_asmodeus_st01","","","阿斯莫德","阿蒂斯"
"822","ヨルムンガンド","10","1/10（10.00%）","672","ヨルム","Graphics/Faces/jormungand_fc1","0","Graphics/Battlers/80_jormungand_st01","","","耶梦加得","耶梦"
"828","前鬼","6","1/6（16.67%）","432","前鬼","Graphics/Faces/zenki_fc1","0","Graphics/Battlers/50_zenki_st01","","","前鬼","前鬼"
"829","後鬼","6","1/6（16.67%）","433","後鬼","Graphics/Faces/kouki_fc1","0","Graphics/Battlers/50_kouki_st01","","","后鬼","后鬼"
"832","失墜の玉座","6","1/6（16.67%）","848","スローネ","Graphics/Faces/s_gyokuza_fc1","0","Graphics/Battlers/50_s_gyokuza_st01","","","失落王座","斯洛妮"
"833","ダブルアンデッド","6","1/6（16.67%）","849","ダブリン","Graphics/Faces/doubleundead_fc1","0","Graphics/Battlers/50_doubleundead_st01","","","双生不死族","都柏林"
"834","イズン","10","1/10（10.00%）","850","イズン","Graphics/Faces/izun_fc1","0","Graphics/Battlers/50_izun_st01","","Graphics/Pictures/ct_syokusyu1；Graphics/Pictures/ct_syokusyu2；Graphics/Pictures/ct_hiru3；Graphics/Pictures/ct_hiru1","伊敦","伊敦"
"835","カースエンジェルズ","10","1/10（10.00%）","851","カースエンジェルズ","Graphics/Faces/carthangels_fc1","3","Graphics/Battlers/50_carthangels_st01","","Graphics/Pictures/ct_carthangels1","诅咒天使","诅咒天使"
"838","アルジェミニ","10","1/10（10.00%）","852","アルジェミニ","Graphics/Faces/algemini_fc1","0","Graphics/Battlers/50_algemini_st01","","","阿尔杰米妮","阿尔杰米妮"
"839","エルジェミニ","10","1/10（10.00%）","853","エルジェミニ","Graphics/Faces/elgemini_fc1","0","Graphics/Battlers/50_elgemini_st01","","","艾尔杰米妮","艾尔杰米妮"
"843","シェムハザ","10","1/10（10.00%）","854","シェムハザ","Graphics/Faces/shemhaza_fc1","0","Graphics/Battlers/50_shemhaza_st01","","","示米哈扎","示米哈扎"
"844","アグレイブ","10","1/10（10.00%）","855","アグレイブ","Graphics/Faces/agrave_fc1","0","Graphics/Battlers/80_agrave_st01","","","阿格雷夫","阿格雷夫"
"848","スターマ","10","1/10（10.00%）","856","スターマ","Graphics/Faces/starma_fc1","0","Graphics/Battlers/50_starma_st01","","","斯塔玛","斯塔玛"
"849","ラジャーラ","10","1/10（10.00%）","857","ラジャーラ","Graphics/Faces/rajara_fc1","0","Graphics/Battlers/50_rajara_st01","","","拉贾拉","拉贾拉"
"851","メギドリアード","10","1/10（10.00%）","858","メギー","Graphics/Faces/megidryad_fc1","0","Graphics/Battlers/50_megidryad_st01","","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","米吉多树精","米婕"
"852","エグセラ","10","1/10（10.00%）","859","エグセラ","Graphics/Faces/exsera_fc1","0","Graphics/Battlers/50_exsera_st01","Graphics/Pictures/ct_exsera1","Graphics/Pictures/ct_exsera1","艾克撒拉","艾克撒拉"
"853","アプサラス","10","1/10（10.00%）","860","アプサラス","Graphics/Faces/apsaras_fc1","0","Graphics/Battlers/50_apsaras_st01","","","阿普萨拉丝","阿普萨拉丝"
"862","ゾルオクト","10","1/10（10.00%）","861","ゾルオクト","Graphics/Faces/zoloct_fc1","0","Graphics/Battlers/80_zoloct_st01","","","佐尔奥克托","佐尔奥克托"
"863","ティアマト","20","1/20（5.00%）","862","ティアマト","Graphics/Faces/tiamat_fc1","0","Graphics/Battlers/80_tiamat_st01","","","提亚玛特","提亚玛特"
"871","アプティルト","10","1/10（10.00%）","863","アプティルト","Graphics/Faces/aptiel_fc1","1","Graphics/Battlers/50_aptiel_st11","","","阿普蒂尔特","阿普蒂尔特"
"872","アムナリオ","20","1/20（5.00%）","864","アムナリオ","Graphics/Faces/amnario_fc1","0","Graphics/Battlers/80_amnario_st01","","","阿姆纳里奥","阿姆纳里奥"
"873","サマエル","10","1/10（10.00%）","865","サマエル","Graphics/Faces/samael_fc1","0","Graphics/Battlers/80_samael_st01","","","萨麦尔","萨麦尔"
"874","シャドウアサシン","10","1/10（10.00%）","866","シャドウ","Graphics/Faces/shadowassassin_fc1","0","Graphics/Battlers/50_shadowassassin_st01","","","影之刺客","暗影"
"875","正体不明","10","1/10（10.00%）","867","アナト","Graphics/Faces/unknown1_fc1","0","Graphics/Battlers/50_unknown1_st01","","","身份不明","阿娜特"
"876","正体不明","10","1/10（10.00%）","868","ベレニケ","Graphics/Faces/unknown2_fc1","0","Graphics/Battlers/50_unknown2_st01","","","身份不明","贝勒尼基"
"877","正体不明","10","1/10（10.00%）","869","ケレス","Graphics/Faces/unknown3_fc1","0","Graphics/Battlers/50_unknown3_st01","","","身份不明","克瑞斯"
"878","正体不明","10","1/10（10.00%）","870","ドゥルガー","Graphics/Faces/unknown4_fc1","0","Graphics/Battlers/50_unknown4_st01","Graphics/Pictures/ct_tuta2","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","身份不明","杜尔迦"
"879","正体不明","10","1/10（10.00%）","871","ロジェスティラ","Graphics/Faces/unknown5_fc1","0","Graphics/Battlers/80_unknown5_st01","","","身份不明","洛姬斯蒂拉"
"881","バンシィ","10","1/10（10.00%）","872","テティス","Graphics/Faces/curseloreley_fc1","0","Graphics/Battlers/50_curseloreley_st01","Graphics/Pictures/ct_curseloreley1","Graphics/Pictures/ct_curseloreley1","报丧女妖","忒提丝"
"882","ボアバンシィ","10","1/10（10.00%）","873","ネレイデス","Graphics/Faces/voremermaid_fc1","0","Graphics/Battlers/50_voremermaid_st01","Graphics/Pictures/ct_voremermaid1","Graphics/Pictures/ct_voremermaid1","嗜吞报丧女妖","涅瑞伊德斯"
"884","パズズ","10","1/10（10.00%）","874","パズズ","Graphics/Faces/pazuzu_fc1","0","Graphics/Battlers/50_pazuzu_st01","Graphics/Pictures/ct_pazuzu1","Graphics/Pictures/ct_pazuzu1","帕祖祖","帕祖祖"
"885","マステマ","10","1/10（10.00%）","875","マステマ","Graphics/Faces/masutema_fc1","0","Graphics/Battlers/50_masutema_st01","Graphics/Pictures/ct_masutema1","Graphics/Pictures/ct_masutema1；Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","莫斯提马","莫斯提马"
"888","アメノハヅチ","10","1/10（10.00%）","876","アメノハヅチ","Graphics/Faces/amenohaduti_fc1","0","Graphics/Battlers/80_amenohaduti_st01","","","天羽槌","天羽槌"
"889","八尺様","10","1/10（10.00%）","877","八尺様","Graphics/Faces/hasyakusama_fc1","0","Graphics/Battlers/50_hasyakusama_st01","Graphics/Pictures/ct_hasyakusama1","Graphics/Pictures/ct_hasyakusama1；Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","八尺大人","八尺大人"
"907","ゲシュタルト","10","1/10（10.00%）","878","ゲシュタルト","Graphics/Faces/gestalt_fc1","0","Graphics/Battlers/50_gestalt_st01","","","格式塔","格式塔"
"908","ハイブマインド","10","1/10（10.00%）","879","ハイブマインド","Graphics/Faces/hivemind_fc1","1","Graphics/Battlers/50_hivemind_st01","","","蜂巢思维","蜂巢思维"
"913","マダムラミア","10","1/10（10.00%）","880","ミルフ","Graphics/Faces/madamlamia_fc1","0","Graphics/Battlers/50_madamlamia_st01","","","拉米亚夫人","米露芙"
"922","サタナキア","10","1/10（10.00%）","881","サタナキア","Graphics/Faces/satanachia_fc1","0","Graphics/Battlers/50_satanachia_st01","","","萨塔妮基亚","萨塔妮基亚"
"923","ブラッディドラゴン","20","1/20（5.00%）","882","ブラディ","Graphics/Faces/bloddydragon_fc1","0","Graphics/Battlers/80_bloddydragon_st01","","","血龙","布拉迪"
"928","パイズリ人形終異体","10","1/10（10.00%）","883","パズン","Graphics/Faces/paizuridoll3_fc1","0","Graphics/Battlers/50_paizuridoll3_st01","","Graphics/Pictures/ct_paizuridoll3_1","乳交人偶终异体","派兹"
"929","アイアンメイデン終異体","10","1/10（10.00%）","884","エヴォル","Graphics/Faces/ironmaiden_s_fc1","0","Graphics/Battlers/50_ironmaiden_s_st01","","","铁处女终异体","埃沃珥"
"930","呪いの人形終異体","10","1/10（10.00%）","885","いおり","Graphics/Faces/doll_itai_fc1","0","Graphics/Battlers/80_doll_itai_st01","Graphics/Pictures/ct_doll_itai1","Graphics/Pictures/ct_doll_itai1","诅咒人偶终异体","伊织"
"932","マグダ","10","1/10（10.00%）","886","マグダ","Graphics/Faces/magda_fc1","0","Graphics/Battlers/50_magda_st01","","Graphics/Pictures/ct_magda1","玛格达","玛格达"
"933","シスエル","20","1/20（5.00%）","887","シスエル","Graphics/Faces/sisel_fc1","0","Graphics/Battlers/80_sisel_st01","","","希斯艾尔","希斯艾尔"
"934","アザゼル","10","1/10（10.00%）","888","アザゼル","Graphics/Faces/azazel_fc1","0","Graphics/Battlers/50_azazel_st01","","","阿撒兹勒","阿撒兹勒"
"935","グリゴリ","10","1/10（10.00%）","889","グリゴリ","Graphics/Faces/grigori_fc1","0","Graphics/Battlers/50_grigori_st01","","","守望者","守望者"
"944","奉仕種族","10","1/10（10.00%）","892","ディーピー","Graphics/Faces/houshi_fc1","0","Graphics/Battlers/50_houshi_st01","Graphics/Pictures/ct_houshi1","Graphics/Pictures/ct_houshi1","仆从种族","渊嗣"
"945","落とし子","20","1/20（5.00%）","893","クトゥ","Graphics/Faces/spawn_fc1","0","Graphics/Battlers/50_spawn_st01","Graphics/Pictures/ct_spawn1","Graphics/Pictures/ct_spawn1","眷族","克图"
"947","触手の眷属","10","1/10（10.00%）","894","ワーミィ","Graphics/Faces/zigen_kenzoku_fc1","0","Graphics/Battlers/50_zigen_kenzoku_st01","Graphics/Pictures/ct_zigen_kenzoku1","Graphics/Pictures/ct_zigen_kenzoku1","触手眷属","蠕米"
"948","粘膜の眷属","10","1/10（10.00%）","895","プラーナ","Graphics/Faces/zigen_kenzoku2_fc1","0","Graphics/Battlers/50_zigen_kenzoku2_st01","","","粘膜眷属","涡虫"
"949","アウタージェリー","20","1/20（5.00%）","896","アンドロメダ","Graphics/Faces/outerjelly_fc1","0","Graphics/Battlers/80_outerjelly_st01","","Graphics/Pictures/ct_outerjelly1","域外水母","安德洛墨达"
"950","アウターワーム","20","1/20（5.00%）","897","ディアマンティナ","Graphics/Faces/outerworm_fc1","0","Graphics/Battlers/80_outerworm_st01","Graphics/Pictures/ct_outerworm1","Graphics/Pictures/ct_outerworm1","域外蠕虫","迪亚曼蒂娜"
"956","ヌルの眷属","10","1/10（10.00%）","898","ヌルアオ","Graphics/Faces/null_kenzoku_fc1","0","Graphics/Battlers/50_null_kenzoku_st01","","","黏黏的眷属","黏黏青"
"957","ヌルの眷属","10","1/10（10.00%）","899","ヌルアカ","Graphics/Faces/null_kenzoku_fc1","1","Graphics/Battlers/50_null_kenzoku_st02","","","黏黏的眷属","黏黏红"
"958","ヌルの眷属","10","1/10（10.00%）","900","ヌルキ","Graphics/Faces/null_kenzoku_fc1","2","Graphics/Battlers/50_null_kenzoku_st03","","","黏黏的眷属","黏黏黄"
"959","TT","10","1/10（10.00%）","901","TT","Graphics/Faces/TT_fc1","0","Graphics/Battlers/50_TT_st01","Graphics/Pictures/ct_tt1","Graphics/Pictures/ct_tt1","TT","TT"
"960","QQ","20","1/20（5.00%）","902","QQ","Graphics/Faces/QQ_fc1","0","Graphics/Battlers/80_QQ_st01","Graphics/Pictures/ct_qq1","Graphics/Pictures/ct_qq1","QQ","QQ"
"962","グラン・アラーニェ","10","1/10（10.00%）","903","グラーニェ","Graphics/Faces/gran_arachne_fc1","0","Graphics/Battlers/50_gran_arachne_st01","","","巨型阿拉涅","格拉涅"
"973","インドラ","10","1/10（10.00%）","905","インドラ","Graphics/Faces/indora_fc1","0","Graphics/Battlers/50_indora_st01","","","因陀罗","因陀罗"
"974","トンベリ娘","20","1/20（5.00%）","904","トゥーン","Graphics/Faces/tonberi_fc1","0","Graphics/Battlers/80_tonberi_st01","","Graphics/Pictures/ct_tonberi1","冬贝利娘","冬恩"
"976","アバドン","20","1/20（5.00%）","906","アバドン","Graphics/Faces/abaddon_fc1","0","Graphics/Battlers/80_abaddon_st01","","","亚巴顿","亚巴顿"
"977","エクスキュウビ","20","1/20（5.00%）","907","ナイン","Graphics/Faces/exkyubi_fc1","0","Graphics/Battlers/80_exkyubi_st01","","","极・九尾","玖"
"978","ドーラドーラ","20","1/20（5.00%）","908","ドーラドーラ","Graphics/Faces/dolladolla_fc1","0","Graphics/Battlers/50_dolladolla_st01","Graphics/Pictures/ct_dolladolla1","Graphics/Pictures/ct_dolladolla1","朵拉朵拉","朵拉朵拉"
"979","ベルゼバブ終異体","20","1/20（5.00%）","909","瑠渦","Graphics/Faces/beelzebub_s_fc1","0","Graphics/Battlers/50_beelzebub_s_st01","","","别西卜终异体","瑠渦"
"980","メルカヴァ","20","1/20（5.00%）","910","メルカヴァ","Graphics/Faces/merkava_fc1","0","Graphics/Battlers/80_merkava_st01","","","灵轮","灵轮"
"981","フレール","20","1/20（5.00%）","911","フレール","Graphics/Faces/ozum_fc1","0","Graphics/Battlers/50_ozum_st01","Graphics/Pictures/ct_ozum1","Graphics/Pictures/ct_ozum1","弗莱尔","弗莱尔"
"982","アガリアレプト","20","1/20（5.00%）","912","アガリアレプト","Graphics/Faces/agaliarept_fc1","0","Graphics/Battlers/80_agaliarept_st01b","Graphics/Pictures/ct_agaliarept1","Graphics/Pictures/ct_agaliarept1","阿加利亚雷普特","阿加利亚雷普特"
"983","ゲイザー","20","1/20（5.00%）","913","ゲイズ","Graphics/Faces/gazer_fc1","0","Graphics/Battlers/50_gazer_st01","","","凝视者","盖兹"
"984","ベリアル","20","1/20（5.00%）","914","ベリアル","Graphics/Faces/berial_fc1","1","Graphics/Battlers/80_berial_st01","","Graphics/Pictures/ct_berial1","贝利亚尔","贝利亚尔"
